PHYS_GROUP,REQUEST,PROJECT,DESCRIPTION,TASKID,KEYWORDS,TASKNAME,TASK_STATUS,CONTAINER_TYPE,CONTAINER_NAME,TAG_NAME,TRF_NAME,TRF_RELEASE,CAMPAIGN,SUBCAMPAIGN
IDTR,11000,mc16_13TeV,ttbar MC16 samples with <mu>=60 and extra threshold points,10730575,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9121,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9121/,r9121,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11000,mc16_13TeV,ttbar MC16 samples with <mu>=60 and extra threshold points,10730575,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9121,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9121/,r9121,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803456,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9165,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9165/,r9165,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803456,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9165,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9165/,r9165,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803464,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9166,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9166/,r9166,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803464,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9166,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9166/,r9166,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803471,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9167,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9167/,r9167,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803471,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9167,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9167/,r9167,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803477,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9168,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9168/,r9168,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803477,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9168,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9168/,r9168,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803482,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9169,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9169/,r9169,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803482,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9169,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9169/,r9169,Reco_tf.py,21.0.11,MC16,MC16a
