CAMPAIGN,SUBCAMPAING,PHYS_GROUP,PROJECT,STEP,REQUEST,STATUS,TASK_ID,TASKNAME,HASHTAG_LIST,EVENTS_TOTAL,T_EVENTS_REQUESTED,T_STAMP
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803482,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9169,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",20000,20000,2017-06-28 09:14:06.410240
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803489,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9170,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",20000,20000,2017-03-02 12:36:54.289184
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11000,aborted,10746500,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9127_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",0,0,2017-02-24 06:21:33.292222
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11000,aborted,10746492,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9126_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",0,0,2017-02-24 06:21:33.289499
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11000,obsolete,10734492,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9121_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",2000,0,2017-02-23 03:14:49.491919
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11000,obsolete,10746485,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9125_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",10000,0,2017-02-23 03:14:49.838999
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,done,10863235,mc16_13TeV.361022.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",200000,0,2017-03-04 12:16:33.851861
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,done,10863248,mc16_13TeV.361023.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",500000,0,2017-06-29 13:15:18.863404
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,done,10863261,mc16_13TeV.361024.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",500000,0,2017-06-29 13:15:18.864406
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,done,10863274,mc16_13TeV.361025.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",500000,0,2017-06-29 13:15:18.865402
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,done,10863288,mc16_13TeV.361026.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6W.merge.e3569_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",200000,0,2017-06-29 13:15:18.866640
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,done,10863331,mc16_13TeV.361023.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",4500000,0,2017-06-29 13:15:18.871409
