REQUEST_ID,DESCRIPTION,REFERENCE_LINK,PHYS_GROUP,ENERGY_GEV,PROJECT,STEP,TASKID,STATUS,TIMESTAMP,CONTAINER_NAME,CONTAINER_TYPE,HASHTAG_LIST
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10730480,done,2017-06-23 16:11:31.559878,mc16_13TeV.364100.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto.simul.HITS.e5271_s3126/,HITS,"2muon, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10730480,done,2017-06-23 16:11:31.559878,mc16_13TeV.364100.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto.simul.log.e5271_s3126/,log,"2muon, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730498,done,2017-06-23 16:11:31.563711,mc16_13TeV.364165.Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CVetoBVeto.simul.log.e5340_s3126/,log,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, muon"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730523,finished,2017-06-23 16:11:31.576199,mc16_13TeV.364168.Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV500_1000.simul.HITS.e5340_s3126/,HITS,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, muon"
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10730527,done,2017-06-23 16:11:31.579452,mc16_13TeV.364107.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CFilterBVeto.simul.HITS.e5271_s3126/,HITS,"2muon, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11049,MC16a sheet 3,,MCGN,13000,mc16_13TeV,simul,10730547,done,2017-06-23 16:11:31.589423,mc16_13TeV.361103.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusenu.simul.HITS.e3601_s3126/,HITS,"MC16a_CP, MC16a_HPC, NLO, PowhegPythia8EvtGen, SM, W, drellYan, electron, electroweak, mc16campaign, neutrino"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730555,done,2017-06-23 16:11:31.592764,mc16_13TeV.364173.Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CVetoBVeto.simul.log.e5340_s3126/,log,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, electron, jets, mc16campaign"
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10730559,done,2017-06-23 16:11:31.594095,mc16_13TeV.364109.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CVetoBVeto.simul.log.e5271_s3126/,log,"2muon, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10730570,done,2017-06-23 16:11:31.599050,mc16_13TeV.364111.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_BFilter.simul.log.e5271_s3126/,log,"2muon, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10730597,done,2017-06-23 16:11:31.607250,mc16_13TeV.364115.Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CFilterBVeto.simul.log.e5299_s3126/,log,"2electron, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
